request_id,date_submitted,neighborhood,category,service_type,priority,status,response_days,source,department,satisfaction_score,month,quarter,resolution_rate
RVA-11462,2025-05-07,Scott's Addition,Water & Utilities,Water Main Break,Medium,Resolved,1.39,Email,Parks & Rec,3.2,2025-05,2025Q2,1
RVA-11463,2025-03-01,Carytown,Sanitation,Illegal Dumping,Medium,Closed,23.4,Website,Public Works,2.0,2025-03,2025Q1,1
RVA-11464,2024-04-17,Lakeside,Public Safety,Missing Sign,High,Resolved,2.83,Website,Police,1.8,2024-04,2024Q2,1
RVA-11465,2025-03-25,East End,Road & Sidewalk,Street Light Out,Medium,Open,9.07,Phone,Parks & Rec,4.0,2025-03,2025Q1,0
RVA-11466,2024-11-06,Northside,Sanitation,Missed Trash Pickup,Emergency,Closed,0.42,Email,Parks & Rec,1.1,2024-11,2024Q4,1
RVA-11467,2024-06-18,West End,Water & Utilities,Water Main Break,Medium,Closed,10.24,Phone,Transportation,4.7,2024-06,2024Q2,1
RVA-11468,2025-06-29,The Fan,Noise & Nuisance,Animal Control,Medium,Resolved,5.19,Website,Public Works,1.1,2025-06,2025Q2,1
RVA-11469,2025-02-17,Museum District,Water & Utilities,Water Main Break,Medium,Closed,14.61,Mobile App,Police,3.5,2025-02,2025Q1,1
RVA-11470,2024-09-07,Scott's Addition,Public Safety,Unsafe Structure,Emergency,Closed,0.17,Website,Code Enforcement,3.4,2024-09,2024Q3,1
RVA-11471,2024-05-20,Highland Park,Sanitation,Missed Trash Pickup,High,In Progress,1.81,Walk-in,Code Enforcement,3.3,2024-05,2024Q2,0
RVA-11472,2024-09-30,Ginter Park,Water & Utilities,Storm Drain Blocked,Low,Resolved,11.72,Mobile App,Police,2.9,2024-09,2024Q3,1
RVA-11473,2025-02-19,Scott's Addition,Public Safety,Unsafe Structure,Medium,Resolved,2.5,Website,Police,4.4,2025-02,2025Q1,1
RVA-11474,2025-08-30,Carytown,Water & Utilities,Water Main Break,Medium,Closed,10.59,Mobile App,Code Enforcement,3.6,2025-08,2025Q3,1
RVA-11475,2024-02-08,Scott's Addition,Public Safety,Unsafe Structure,Medium,Open,19.51,Email,Parks & Rec,4.1,2024-02,2024Q1,0
RVA-11476,2024-01-29,Carytown,Parks & Public Spaces,Playground Repair,High,Closed,1.36,Email,Parks & Rec,1.5,2024-01,2024Q1,1
RVA-11477,2025-04-21,Manchester,Noise & Nuisance,Abandoned Vehicle,High,Open,0.99,Phone,Transportation,1.2,2025-04,2025Q2,0
RVA-11478,2024-11-13,Short Pump,Sanitation,Bulk Pickup Request,High,Resolved,1.28,Mobile App,Public Works,1.1,2024-11,2024Q4,1
RVA-11479,2024-09-01,Bon Air,Noise & Nuisance,Animal Control,Emergency,Resolved,0.96,Website,Police,1.6,2024-09,2024Q3,1
RVA-11480,2025-11-27,Oregon Hill,Road & Sidewalk,Crosswalk Faded,Medium,Closed,5.18,Mobile App,Parks & Rec,3.7,2025-11,2025Q4,1
RVA-11481,2024-09-28,Scott's Addition,Sanitation,Missed Trash Pickup,High,Open,0.09,Phone,Parks & Rec,3.0,2024-09,2024Q3,0
RVA-11482,2025-03-15,Shockoe Bottom,Noise & Nuisance,Property Maintenance,High,Resolved,1.56,Mobile App,Public Works,4.0,2025-03,2025Q1,1
RVA-11483,2024-08-26,Shockoe Bottom,Water & Utilities,Hydrant Issue,Medium,Resolved,0.09,Phone,Police,1.8,2024-08,2024Q3,1
RVA-11484,2025-01-11,Shockoe Bottom,Public Safety,Hazardous Condition,High,Open,3.01,Mobile App,Public Works,2.5,2025-01,2025Q1,0
RVA-11485,2024-09-22,Highland Park,Water & Utilities,Water Main Break,Low,In Progress,3.98,Mobile App,Public Works,4.6,2024-09,2024Q3,0
RVA-11486,2024-12-24,The Fan,Sanitation,Illegal Dumping,High,Closed,1.28,Mobile App,Code Enforcement,4.7,2024-12,2024Q4,1
RVA-11487,2024-12-05,Bon Air,Public Safety,Unsafe Structure,Medium,Resolved,8.01,Website,Public Works,4.7,2024-12,2024Q4,1
RVA-11488,2025-01-23,Short Pump,Noise & Nuisance,Property Maintenance,Medium,In Progress,0.24,Phone,Police,4.3,2025-01,2025Q1,0
RVA-11489,2025-07-30,Short Pump,Water & Utilities,Storm Drain Blocked,High,Resolved,0.35,Mobile App,Parks & Rec,3.8,2025-07,2025Q3,1
RVA-11490,2025-11-19,Oregon Hill,Noise & Nuisance,Noise Complaint,Medium,Closed,2.54,Website,Parks & Rec,4.7,2025-11,2025Q4,1
RVA-11491,2024-01-03,West End,Parks & Public Spaces,Tree Hazard,Low,Open,2.61,Walk-in,Code Enforcement,3.9,2024-01,2024Q1,0
RVA-11492,2025-03-04,Museum District,Sanitation,Overflowing Bin,Low,Resolved,4.12,Mobile App,Police,4.8,2025-03,2025Q1,1
RVA-11493,2024-05-21,Manchester,Parks & Public Spaces,Graffiti Removal,Medium,Open,31.53,Walk-in,Parks & Rec,1.1,2024-05,2024Q2,0
RVA-11494,2025-01-10,Scott's Addition,Road & Sidewalk,Crosswalk Faded,Medium,Open,8.73,Website,Public Works,4.7,2025-01,2025Q1,0
RVA-11495,2025-10-31,Bon Air,Road & Sidewalk,Sidewalk Damage,High,In Progress,4.31,Mobile App,Public Utilities,3.2,2025-10,2025Q4,0
RVA-11496,2024-11-19,Scott's Addition,Sanitation,Missed Trash Pickup,Emergency,Resolved,1.38,Phone,Public Utilities,1.4,2024-11,2024Q4,1
RVA-11497,2024-05-25,Museum District,Road & Sidewalk,Crosswalk Faded,Medium,Closed,2.08,Phone,Public Utilities,1.9,2024-05,2024Q2,1
RVA-11498,2024-10-19,Oregon Hill,Sanitation,Overflowing Bin,High,Resolved,0.71,Website,Public Utilities,4.4,2024-10,2024Q4,1
RVA-11499,2025-10-26,The Fan,Noise & Nuisance,Animal Control,Medium,Resolved,1.33,Mobile App,Public Works,3.0,2025-10,2025Q4,1
RVA-11500,2025-03-07,Shockoe Bottom,Parks & Public Spaces,Graffiti Removal,High,Resolved,3.55,Email,Parks & Rec,4.9,2025-03,2025Q1,1
RVA-11501,2025-12-05,Shockoe Bottom,Water & Utilities,Water Main Break,Low,Resolved,11.38,Website,Code Enforcement,1.5,2025-12,2025Q4,1
RVA-11502,2025-08-07,West End,Sanitation,Overflowing Bin,Medium,Resolved,1.35,Phone,Public Works,2.7,2025-08,2025Q3,1
RVA-11503,2025-02-02,Jackson Ward,Public Safety,Traffic Signal Issue,Medium,Closed,2.37,Mobile App,Parks & Rec,2.3,2025-02,2025Q1,1
RVA-11504,2024-12-09,Highland Park,Public Safety,Traffic Signal Issue,Low,Closed,7.07,Mobile App,Police,3.1,2024-12,2024Q4,1
RVA-11505,2024-05-19,West End,Parks & Public Spaces,Playground Repair,High,Closed,1.5,Phone,Parks & Rec,3.5,2024-05,2024Q2,1
RVA-11506,2024-07-05,Shockoe Bottom,Water & Utilities,Sewer Problem,High,Resolved,4.39,Phone,Parks & Rec,3.6,2024-07,2024Q3,1
RVA-11507,2024-03-01,Northside,Sanitation,Bulk Pickup Request,Medium,Closed,2.39,Website,Parks & Rec,1.0,2024-03,2024Q1,1
RVA-11508,2025-01-14,West End,Road & Sidewalk,Sidewalk Damage,Medium,Resolved,11.96,Website,Public Works,1.4,2025-01,2025Q1,1
RVA-11509,2025-12-10,Southside,Parks & Public Spaces,Playground Repair,High,Closed,1.16,Mobile App,Parks & Rec,1.1,2025-12,2025Q4,1
RVA-11510,2025-03-15,Northside,Public Safety,Hazardous Condition,High,Closed,2.74,Phone,Parks & Rec,4.5,2025-03,2025Q1,1
RVA-11511,2024-11-14,West End,Parks & Public Spaces,Park Maintenance,Medium,Open,13.31,Mobile App,Police,2.3,2024-11,2024Q4,0
RVA-11512,2024-10-28,The Fan,Noise & Nuisance,Abandoned Vehicle,Medium,Resolved,11.91,Phone,Police,2.5,2024-10,2024Q4,1
RVA-11513,2024-12-09,West End,Noise & Nuisance,Property Maintenance,High,Resolved,0.12,Website,Public Utilities,2.8,2024-12,2024Q4,1
RVA-11514,2024-01-11,Scott's Addition,Parks & Public Spaces,Playground Repair,Medium,Closed,1.15,Phone,Transportation,4.4,2024-01,2024Q1,1
RVA-11515,2024-03-02,Northside,Sanitation,Overflowing Bin,Low,In Progress,6.48,Walk-in,Public Works,1.1,2024-03,2024Q1,0
RVA-11516,2024-08-13,Scott's Addition,Noise & Nuisance,Noise Complaint,Medium,Closed,2.82,Email,Parks & Rec,1.5,2024-08,2024Q3,1
RVA-11517,2024-06-01,Ginter Park,Water & Utilities,Storm Drain Blocked,High,Resolved,2.05,Website,Public Utilities,3.7,2024-06,2024Q2,1
RVA-11518,2025-12-11,Museum District,Public Safety,Traffic Signal Issue,High,In Progress,5.79,Mobile App,Public Utilities,4.9,2025-12,2025Q4,0
RVA-11519,2025-07-17,Southside,Water & Utilities,Hydrant Issue,Emergency,Open,0.06,Phone,Public Works,3.6,2025-07,2025Q3,0
RVA-11520,2025-07-24,Highland Park,Parks & Public Spaces,Park Maintenance,High,Closed,1.2,Mobile App,Transportation,2.0,2025-07,2025Q3,1
RVA-11521,2025-08-06,Bon Air,Road & Sidewalk,Sidewalk Damage,Emergency,Open,0.11,Website,Public Utilities,3.1,2025-08,2025Q3,0
RVA-11522,2025-10-21,West End,Parks & Public Spaces,Park Maintenance,Low,In Progress,22.45,Walk-in,Public Utilities,4.9,2025-10,2025Q4,0
RVA-11523,2025-07-28,Church Hill,Noise & Nuisance,Abandoned Vehicle,High,Resolved,6.68,Website,Public Works,3.1,2025-07,2025Q3,1
RVA-11524,2024-11-05,Ginter Park,Sanitation,Overflowing Bin,Low,Resolved,6.51,Website,Code Enforcement,2.5,2024-11,2024Q4,1
RVA-11525,2024-08-30,Southside,Public Safety,Hazardous Condition,High,Closed,0.22,Website,Public Utilities,2.5,2024-08,2024Q3,1
RVA-11526,2025-05-07,Northside,Water & Utilities,Hydrant Issue,Medium,Resolved,7.69,Walk-in,Police,4.9,2025-05,2025Q2,1
RVA-11527,2024-12-31,Bon Air,Noise & Nuisance,Animal Control,Medium,Closed,5.97,Mobile App,Public Utilities,3.9,2024-12,2024Q4,1
RVA-11528,2024-11-25,Scott's Addition,Water & Utilities,Sewer Problem,High,Closed,0.88,Walk-in,Public Works,3.7,2024-11,2024Q4,1
RVA-11529,2024-04-16,Scott's Addition,Public Safety,Traffic Signal Issue,High,Resolved,4.37,Website,Public Works,1.9,2024-04,2024Q2,1
RVA-11530,2024-08-13,Short Pump,Noise & Nuisance,Animal Control,Low,Closed,37.23,Mobile App,Transportation,3.2,2024-08,2024Q3,1
RVA-11531,2024-08-05,Highland Park,Noise & Nuisance,Animal Control,Medium,Closed,4.08,Email,Code Enforcement,2.4,2024-08,2024Q3,1
RVA-11532,2025-05-20,Museum District,Sanitation,Bulk Pickup Request,Medium,Closed,4.17,Email,Code Enforcement,2.0,2025-05,2025Q2,1
RVA-11533,2024-09-15,Southside,Parks & Public Spaces,Tree Hazard,Medium,Closed,1.77,Phone,Transportation,4.6,2024-09,2024Q3,1
RVA-11534,2025-05-31,Museum District,Parks & Public Spaces,Park Maintenance,High,Resolved,1.76,Walk-in,Transportation,2.5,2025-05,2025Q2,1
RVA-11535,2024-02-23,Northside,Water & Utilities,Storm Drain Blocked,Medium,Resolved,2.9,Mobile App,Police,2.1,2024-02,2024Q1,1
RVA-11536,2024-02-16,Ginter Park,Noise & Nuisance,Noise Complaint,Emergency,Resolved,0.18,Phone,Police,4.7,2024-02,2024Q1,1
RVA-11537,2025-12-27,Shockoe Bottom,Road & Sidewalk,Street Light Out,Low,Closed,0.7,Mobile App,Public Utilities,1.8,2025-12,2025Q4,1
RVA-11538,2025-11-19,West End,Road & Sidewalk,Sidewalk Damage,High,Closed,0.58,Phone,Code Enforcement,4.0,2025-11,2025Q4,1
RVA-11539,2025-06-04,Highland Park,Public Safety,Unsafe Structure,High,Open,0.44,Phone,Police,3.6,2025-06,2025Q2,0
RVA-11540,2024-04-08,Museum District,Parks & Public Spaces,Playground Repair,Medium,Open,3.9,Mobile App,Public Utilities,4.7,2024-04,2024Q2,0
RVA-11541,2024-01-20,Manchester,Water & Utilities,Water Main Break,Medium,Open,4.6,Website,Parks & Rec,4.3,2024-01,2024Q1,0
RVA-11542,2025-07-26,The Fan,Parks & Public Spaces,Graffiti Removal,High,Closed,1.88,Mobile App,Public Utilities,3.8,2025-07,2025Q3,1
RVA-11543,2025-05-04,Highland Park,Parks & Public Spaces,Graffiti Removal,High,In Progress,0.98,Mobile App,Police,2.3,2025-05,2025Q2,0
RVA-11544,2025-02-22,Manchester,Noise & Nuisance,Animal Control,Medium,Resolved,2.73,Phone,Public Utilities,3.0,2025-02,2025Q1,1
RVA-11545,2025-11-20,Oregon Hill,Noise & Nuisance,Noise Complaint,Medium,Resolved,8.99,Phone,Parks & Rec,4.8,2025-11,2025Q4,1
RVA-11546,2024-03-02,Manchester,Parks & Public Spaces,Park Maintenance,Low,Resolved,6.47,Mobile App,Police,1.1,2024-03,2024Q1,1
RVA-11547,2024-05-24,Lakeside,Parks & Public Spaces,Tree Hazard,Low,Resolved,44.04,Mobile App,Public Utilities,4.2,2024-05,2024Q2,1
RVA-11548,2024-08-03,West End,Sanitation,Missed Trash Pickup,Medium,Closed,2.9,Mobile App,Police,2.0,2024-08,2024Q3,1
RVA-11549,2024-01-03,Highland Park,Road & Sidewalk,Street Light Out,Low,Resolved,10.49,Mobile App,Transportation,1.7,2024-01,2024Q1,1
RVA-11550,2024-06-08,Oregon Hill,Road & Sidewalk,Crosswalk Faded,High,Closed,0.1,Phone,Transportation,1.9,2024-06,2024Q2,1
RVA-11551,2024-04-29,East End,Road & Sidewalk,Pothole Repair,High,Resolved,2.12,Email,Public Utilities,1.2,2024-04,2024Q2,1
RVA-11552,2024-03-29,West End,Sanitation,Missed Trash Pickup,Emergency,In Progress,0.95,Mobile App,Public Works,5.0,2024-03,2024Q1,0
RVA-11553,2024-11-24,Manchester,Sanitation,Missed Trash Pickup,High,In Progress,5.71,Website,Police,4.5,2024-11,2024Q4,0
RVA-11554,2025-08-02,Carytown,Parks & Public Spaces,Park Maintenance,Emergency,Closed,2.96,Mobile App,Police,3.1,2025-08,2025Q3,1
RVA-11555,2024-12-22,Bon Air,Road & Sidewalk,Crosswalk Faded,Medium,Closed,1.66,Phone,Transportation,3.9,2024-12,2024Q4,1
RVA-11556,2025-09-01,East End,Public Safety,Missing Sign,Medium,Open,4.28,Mobile App,Transportation,3.2,2025-09,2025Q3,0
RVA-11557,2024-09-23,East End,Parks & Public Spaces,Tree Hazard,Emergency,Closed,0.3,Email,Police,4.2,2024-09,2024Q3,1
RVA-11558,2025-09-08,The Fan,Noise & Nuisance,Animal Control,Medium,Resolved,4.15,Phone,Police,4.4,2025-09,2025Q3,1
RVA-11559,2024-11-18,Highland Park,Sanitation,Bulk Pickup Request,Low,Resolved,1.71,Website,Transportation,1.9,2024-11,2024Q4,1
RVA-11560,2025-09-26,Northside,Public Safety,Traffic Signal Issue,High,In Progress,3.88,Website,Public Utilities,2.8,2025-09,2025Q3,0
RVA-11561,2025-06-24,Ginter Park,Noise & Nuisance,Property Maintenance,Emergency,Closed,1.2,Mobile App,Code Enforcement,3.5,2025-06,2025Q2,1
RVA-11562,2025-10-10,Bon Air,Road & Sidewalk,Sidewalk Damage,High,Open,1.19,Email,Public Utilities,4.9,2025-10,2025Q4,0
RVA-11563,2024-07-13,Bon Air,Noise & Nuisance,Animal Control,Medium,Resolved,1.65,Mobile App,Parks & Rec,3.7,2024-07,2024Q3,1
RVA-11564,2024-11-27,Ginter Park,Noise & Nuisance,Noise Complaint,High,Resolved,0.3,Mobile App,Public Works,4.6,2024-11,2024Q4,1
RVA-11565,2024-06-18,The Fan,Sanitation,Overflowing Bin,Emergency,In Progress,0.58,Mobile App,Public Utilities,4.4,2024-06,2024Q2,0
RVA-11566,2025-06-04,Fulton,Water & Utilities,Water Main Break,Low,Resolved,3.74,Mobile App,Public Utilities,3.3,2025-06,2025Q2,1
RVA-11567,2025-04-07,The Fan,Parks & Public Spaces,Park Maintenance,High,Open,4.81,Mobile App,Police,4.6,2025-04,2025Q2,0
RVA-11568,2024-02-09,Ginter Park,Parks & Public Spaces,Tree Hazard,Medium,Resolved,5.56,Website,Parks & Rec,2.5,2024-02,2024Q1,1
RVA-11569,2025-06-20,Scott's Addition,Parks & Public Spaces,Graffiti Removal,Medium,Closed,5.19,Mobile App,Police,2.5,2025-06,2025Q2,1
RVA-11570,2024-09-17,Northside,Road & Sidewalk,Street Light Out,Medium,Resolved,4.1,Website,Transportation,4.1,2024-09,2024Q3,1
RVA-11571,2025-01-29,The Fan,Water & Utilities,Water Main Break,Low,Resolved,0.47,Mobile App,Police,1.5,2025-01,2025Q1,1
RVA-11572,2024-08-13,Highland Park,Public Safety,Hazardous Condition,Low,Resolved,26.87,Email,Code Enforcement,2.2,2024-08,2024Q3,1
RVA-11573,2024-05-03,Carytown,Noise & Nuisance,Animal Control,Medium,Resolved,4.94,Mobile App,Public Works,3.4,2024-05,2024Q2,1
RVA-11574,2024-02-07,Museum District,Noise & Nuisance,Abandoned Vehicle,Low,Closed,51.26,Website,Code Enforcement,2.7,2024-02,2024Q1,1
RVA-11575,2024-11-23,Highland Park,Parks & Public Spaces,Graffiti Removal,Medium,In Progress,3.85,Website,Police,4.8,2024-11,2024Q4,0
RVA-11576,2024-09-07,West End,Water & Utilities,Storm Drain Blocked,High,Closed,2.48,Mobile App,Public Works,4.8,2024-09,2024Q3,1
RVA-11577,2024-06-24,The Fan,Road & Sidewalk,Street Light Out,Medium,Closed,0.29,Mobile App,Public Utilities,3.0,2024-06,2024Q2,1
RVA-11578,2025-08-24,Jackson Ward,Noise & Nuisance,Abandoned Vehicle,Medium,Closed,4.99,Mobile App,Parks & Rec,3.2,2025-08,2025Q3,1
RVA-11579,2025-03-29,The Fan,Road & Sidewalk,Sidewalk Damage,Emergency,In Progress,0.72,Mobile App,Code Enforcement,3.9,2025-03,2025Q1,0
RVA-11580,2024-02-06,East End,Water & Utilities,Hydrant Issue,Low,Open,15.07,Mobile App,Parks & Rec,2.8,2024-02,2024Q1,0
RVA-11581,2024-11-11,Bon Air,Public Safety,Traffic Signal Issue,Medium,Resolved,7.35,Website,Police,1.8,2024-11,2024Q4,1
RVA-11582,2025-11-18,East End,Parks & Public Spaces,Playground Repair,Medium,Closed,1.28,Phone,Public Works,4.0,2025-11,2025Q4,1
RVA-11583,2025-08-15,Scott's Addition,Sanitation,Missed Trash Pickup,High,Resolved,7.41,Phone,Transportation,4.0,2025-08,2025Q3,1
RVA-11584,2024-04-23,Oregon Hill,Water & Utilities,Storm Drain Blocked,Emergency,Resolved,2.67,Mobile App,Public Utilities,2.0,2024-04,2024Q2,1
RVA-11585,2024-02-09,Bon Air,Parks & Public Spaces,Park Maintenance,Emergency,In Progress,0.04,Walk-in,Public Works,4.3,2024-02,2024Q1,0
RVA-11586,2024-10-27,Scott's Addition,Sanitation,Bulk Pickup Request,High,Closed,5.51,Mobile App,Transportation,3.5,2024-10,2024Q4,1
RVA-11587,2024-08-11,Northside,Road & Sidewalk,Street Light Out,Low,Closed,3.42,Phone,Parks & Rec,1.9,2024-08,2024Q3,1
RVA-11588,2024-11-13,Oregon Hill,Sanitation,Overflowing Bin,Low,In Progress,11.69,Mobile App,Parks & Rec,3.6,2024-11,2024Q4,0
RVA-11589,2024-12-14,Highland Park,Noise & Nuisance,Abandoned Vehicle,Medium,Open,2.06,Mobile App,Public Utilities,1.9,2024-12,2024Q4,0
RVA-11590,2024-04-24,Ginter Park,Noise & Nuisance,Animal Control,Low,Resolved,34.34,Website,Transportation,2.1,2024-04,2024Q2,1
RVA-11591,2025-11-28,Manchester,Water & Utilities,Sewer Problem,High,Resolved,0.21,Website,Transportation,4.4,2025-11,2025Q4,1
RVA-11592,2024-11-18,East End,Parks & Public Spaces,Playground Repair,High,Closed,1.38,Website,Public Utilities,4.7,2024-11,2024Q4,1
RVA-11593,2025-07-21,Northside,Noise & Nuisance,Abandoned Vehicle,Low,Closed,5.59,Phone,Public Works,2.0,2025-07,2025Q3,1
RVA-11594,2024-02-09,Scott's Addition,Parks & Public Spaces,Playground Repair,High,Resolved,0.79,Email,Code Enforcement,4.7,2024-02,2024Q1,1
RVA-11595,2024-02-09,Scott's Addition,Sanitation,Bulk Pickup Request,Low,In Progress,10.37,Phone,Public Works,2.0,2024-02,2024Q1,0
RVA-11596,2024-10-15,Short Pump,Road & Sidewalk,Street Light Out,Medium,Closed,0.7,Phone,Parks & Rec,1.5,2024-10,2024Q4,1
RVA-11597,2024-09-18,Shockoe Bottom,Noise & Nuisance,Animal Control,High,Closed,2.52,Mobile App,Public Works,1.2,2024-09,2024Q3,1
RVA-11598,2024-08-03,Highland Park,Noise & Nuisance,Animal Control,Medium,Closed,19.71,Mobile App,Police,2.0,2024-08,2024Q3,1
RVA-11599,2024-05-26,The Fan,Noise & Nuisance,Animal Control,Medium,Closed,8.16,Phone,Public Works,2.5,2024-05,2024Q2,1
RVA-11600,2024-12-01,Carytown,Parks & Public Spaces,Park Maintenance,Low,Resolved,19.66,Mobile App,Public Works,4.7,2024-12,2024Q4,1
RVA-11601,2024-06-16,Manchester,Road & Sidewalk,Pothole Repair,Medium,Closed,2.23,Phone,Transportation,2.0,2024-06,2024Q2,1
RVA-11602,2024-04-01,Carytown,Road & Sidewalk,Sidewalk Damage,High,Closed,0.79,Mobile App,Police,2.5,2024-04,2024Q2,1
RVA-11603,2024-12-18,Museum District,Noise & Nuisance,Animal Control,Emergency,Closed,0.36,Walk-in,Parks & Rec,3.9,2024-12,2024Q4,1
RVA-11604,2025-07-24,Oregon Hill,Water & Utilities,Storm Drain Blocked,Medium,Resolved,0.23,Email,Public Utilities,2.2,2025-07,2025Q3,1
RVA-11605,2025-07-24,West End,Road & Sidewalk,Sidewalk Damage,Medium,Closed,14.53,Mobile App,Public Works,3.7,2025-07,2025Q3,1
RVA-11606,2025-11-11,Bon Air,Noise & Nuisance,Abandoned Vehicle,High,Resolved,0.31,Walk-in,Code Enforcement,2.7,2025-11,2025Q4,1
RVA-11607,2024-12-28,Highland Park,Sanitation,Illegal Dumping,Emergency,In Progress,1.17,Walk-in,Transportation,1.8,2024-12,2024Q4,0
RVA-11608,2025-07-10,Shockoe Bottom,Road & Sidewalk,Street Light Out,Medium,In Progress,0.44,Email,Transportation,3.9,2025-07,2025Q3,0
RVA-11609,2024-12-10,Bon Air,Road & Sidewalk,Street Light Out,Medium,Resolved,8.65,Mobile App,Public Utilities,1.1,2024-12,2024Q4,1
RVA-11610,2025-11-23,Oregon Hill,Public Safety,Traffic Signal Issue,High,Resolved,0.33,Website,Code Enforcement,2.2,2025-11,2025Q4,1
RVA-11611,2024-06-18,Museum District,Parks & Public Spaces,Park Maintenance,Medium,In Progress,0.19,Mobile App,Public Works,2.4,2024-06,2024Q2,0
RVA-11612,2024-12-21,Museum District,Water & Utilities,Hydrant Issue,Low,Closed,12.71,Website,Code Enforcement,2.8,2024-12,2024Q4,1
RVA-11613,2024-07-09,Scott's Addition,Noise & Nuisance,Animal Control,Medium,Closed,1.64,Website,Transportation,3.7,2024-07,2024Q3,1
RVA-11614,2025-10-28,Bon Air,Road & Sidewalk,Sidewalk Damage,Low,Closed,12.53,Website,Public Utilities,2.8,2025-10,2025Q4,1
RVA-11615,2025-02-25,Manchester,Road & Sidewalk,Sidewalk Damage,Medium,Resolved,4.05,Mobile App,Code Enforcement,3.4,2025-02,2025Q1,1
RVA-11616,2025-11-30,Northside,Parks & Public Spaces,Playground Repair,Medium,Closed,0.58,Walk-in,Code Enforcement,3.4,2025-11,2025Q4,1
RVA-11617,2024-01-07,Scott's Addition,Public Safety,Traffic Signal Issue,High,Open,5.38,Phone,Public Utilities,2.5,2024-01,2024Q1,0
RVA-11618,2024-05-12,Highland Park,Public Safety,Missing Sign,Medium,Resolved,3.01,Mobile App,Public Utilities,4.7,2024-05,2024Q2,1
RVA-11619,2025-07-10,Highland Park,Sanitation,Missed Trash Pickup,Medium,Resolved,6.63,Phone,Public Utilities,4.8,2025-07,2025Q3,1
RVA-11620,2024-01-31,Scott's Addition,Noise & Nuisance,Noise Complaint,Low,Closed,6.95,Walk-in,Transportation,3.3,2024-01,2024Q1,1
RVA-11621,2025-06-18,West End,Sanitation,Overflowing Bin,High,Resolved,1.85,Email,Public Utilities,1.3,2025-06,2025Q2,1
RVA-11622,2025-03-01,West End,Sanitation,Missed Trash Pickup,Low,Open,3.61,Website,Police,3.0,2025-03,2025Q1,0
RVA-11623,2025-01-28,Northside,Noise & Nuisance,Noise Complaint,Medium,Resolved,1.12,Mobile App,Public Works,1.7,2025-01,2025Q1,1
RVA-11624,2025-11-02,Northside,Sanitation,Overflowing Bin,Low,Resolved,7.82,Mobile App,Transportation,2.9,2025-11,2025Q4,1
RVA-11625,2024-12-28,Northside,Parks & Public Spaces,Graffiti Removal,High,Closed,1.16,Mobile App,Public Utilities,1.8,2024-12,2024Q4,1
RVA-11626,2025-03-12,The Fan,Noise & Nuisance,Animal Control,Medium,Closed,2.47,Mobile App,Parks & Rec,3.8,2025-03,2025Q1,1
RVA-11627,2025-10-31,East End,Parks & Public Spaces,Playground Repair,Medium,In Progress,5.58,Phone,Code Enforcement,1.3,2025-10,2025Q4,0
RVA-11628,2025-07-04,Museum District,Water & Utilities,Sewer Problem,Medium,In Progress,5.86,Mobile App,Public Utilities,4.8,2025-07,2025Q3,0
RVA-11629,2024-03-22,Museum District,Parks & Public Spaces,Graffiti Removal,High,In Progress,0.09,Mobile App,Public Utilities,1.8,2024-03,2024Q1,0
RVA-11630,2024-12-21,Ginter Park,Water & Utilities,Water Main Break,Medium,Closed,2.07,Walk-in,Public Works,3.6,2024-12,2024Q4,1
RVA-11631,2024-09-14,The Fan,Water & Utilities,Storm Drain Blocked,High,Open,1.06,Website,Public Utilities,4.7,2024-09,2024Q3,0
RVA-11632,2025-12-18,Scott's Addition,Water & Utilities,Sewer Problem,High,In Progress,0.2,Website,Transportation,2.0,2025-12,2025Q4,0
RVA-11633,2025-08-11,Carytown,Road & Sidewalk,Street Light Out,Emergency,Resolved,0.13,Phone,Police,4.7,2025-08,2025Q3,1
RVA-11634,2025-06-07,The Fan,Sanitation,Illegal Dumping,Medium,Resolved,0.27,Phone,Parks & Rec,2.6,2025-06,2025Q2,1
RVA-11635,2024-10-21,Scott's Addition,Public Safety,Hazardous Condition,Emergency,In Progress,2.79,Mobile App,Parks & Rec,4.8,2024-10,2024Q4,0
RVA-11636,2024-08-11,Bon Air,Parks & Public Spaces,Playground Repair,Low,Resolved,13.34,Phone,Public Utilities,4.9,2024-08,2024Q3,1
RVA-11637,2025-06-08,Scott's Addition,Noise & Nuisance,Property Maintenance,Medium,Resolved,0.46,Website,Public Works,1.8,2025-06,2025Q2,1
RVA-11638,2024-02-15,East End,Public Safety,Unsafe Structure,High,Resolved,0.04,Phone,Transportation,4.3,2024-02,2024Q1,1
RVA-11639,2025-10-28,Carytown,Noise & Nuisance,Animal Control,Medium,Closed,6.35,Walk-in,Transportation,1.8,2025-10,2025Q4,1
RVA-11640,2024-04-22,Northside,Parks & Public Spaces,Tree Hazard,Medium,In Progress,2.89,Email,Public Utilities,1.9,2024-04,2024Q2,0
RVA-11641,2024-08-20,Bon Air,Water & Utilities,Storm Drain Blocked,Medium,Resolved,7.73,Phone,Code Enforcement,1.3,2024-08,2024Q3,1
RVA-11642,2024-01-17,Scott's Addition,Sanitation,Missed Trash Pickup,Medium,Closed,12.85,Mobile App,Transportation,1.6,2024-01,2024Q1,1
RVA-11643,2024-12-25,Ginter Park,Noise & Nuisance,Property Maintenance,Medium,Closed,4.57,Email,Transportation,3.5,2024-12,2024Q4,1
